	UserName	Date	Time	Longitude	Latitude	Tweet
119	Emmilio Rius	2016-04-16	3:29	-106.0671884	28.6489142	la cerv el tradicion de sshihuahua la cerv @lacerv3 chihuahua chih http tco s3y1axwigc
120	Chaf's	2016-04-16	3:29	-99.15713143	19.43711987	@rod_guem la fogata benito ju rez df http tco jmf 9wausoa
121	ALEX TV	2016-04-16	3:29	-105.235902	20.603622	mr flamingo http tco 71nuaubkb4
122	Lightning	2016-04-16	3:29	-90.274088	38.687859	post video special tyme banquet hall http tco iowpbvhtbu
123	JS	2016-04-16	3:29	-100.2783809	25.76911126	buffalo wild wing @bwwingsmx san nicol de lo garza nuevo le n http tco p2fawjnuzv
124	Dom Shizz	2016-04-16	3:29	-75.151668	40.009388	#repost @erieavedotcom repostapp @domshizz #openm @erieavedotcom everi http tco fmthehfqpt
125	Comerahora.com	2016-04-16	3:29	-116.61013030000001	31.8656044	movi night con imagin film zarafa la tarima sica caf http tco /8 hksqolk 9u
126	Rodrigo y así	2016-04-16	3:29	-99.10096355	19.32918236	lienzo charro lo pirul ciudad de xico distrito feder w @erikfellini http tco wyoznhtftl
127	not ur average salsa	2016-04-16	3:29	-87.64766229	41.91782027	@lord_vulva miss love
128	Ricardo Salarich	2016-04-16	3:29	-99.20141721	19.43887819	umbrella #pincheosoartista plaza antarapolanco http tco l4yl62rumm
129	SKULLITOR.	2016-04-16	3:29	-75.23265723	43.10134935	radisson hotel-utica centr utica ny w @rudolph1keith @i80queen @ifly2ifli http tco dvpkweuhbi
130	Athena Jean salon	2016-04-16	3:29	-117.28567360000001	34.47148571	#tranform #tgif #hairbyjeanmcswain #athenajeansalonandspa #blond #springvalleylak http tco ytgstyi 9yh
131	Orlando Rodriguez	2016-04-16	3:29	-81.58962481	28.35592086	hab dado cuenta de que ese dinosaurio hizo un photo bomb http tco ak14myxsfi
132	ExclusiveCuts	2016-04-16	3:29	-106.28815	31.74407	readi club make appoint http tco hpaqklokn http tco 1y9lfm4m3u
133	Juan Carlos Rihani A	2016-04-16	3:29	-89.61424	21.00381	probando lo taco rabe la harbapapa harbano taco arab http tco mtjb 2tqjrw
134	Ape Fit	2016-04-16	3:29	-118.46683909999999	33.97908265	noth quit like sound crash wave http tco 2iiyi9wxxj #nevermissasunset http tco cvwdlq 5or1
135	R Henderson-Espinoza	2016-04-16	3:29	-122.27413600000001	37.800439000000004	happen question unintellig left church http tco bd6u7q7yez
136	Joe Eversole	2016-04-16	3:29	-86.29765034	39.71517597	back home etc indianapoli intern airport ind @indairport indianapoli http tco yyl 5jhjvn5
137	James Pickens	2016-04-16	3:29	-95.561081	29.780033000000003	readi go #origineffect #bergantinoaudio #mesaboogi #darkglasselectron monnalisa bar http tco v5yn1z43do
138	Savor the Moment	2016-04-16	3:29	-122.0168142	37.3227351	#japan foodi time #onepot #cupertino friend hubbi #goodtim #siliconvalley http tco a 9dnniqf
139	A Bulldozer.Com	2016-04-16	3:29	-118.242	34.0463	delici hope regular drink tamber amber @mumfordbrew @mumfordbrew http tco z3qejh10mf #photo
140	Krunch One	2016-04-16	3:29	-80.21000683	25.91520846	tonight @blazecater58_ take south beach support would like host http tco uczkrlnti
141	Robin	2016-04-16	3:29	-80.13280490000001	25.7798595	post photo la quinta live music bar miami http tco j5nj6gc3d1
142	cheyenne	2016-04-16	3:29	-81.57453021	28.33970236	sophia srri post #disnay disney all-star music http tco uamrmyflnk
143	melsenpai	2016-04-16	3:29	-122.3958138	37.79719141	start good friday bourbon base derbi cocktail alway good idea #sf http tco 4ocv3i3dxc
144	Yoshiko Mishina	2016-04-16	3:29	-83.7796	42.1709	got purpl color artichok nearbi groceri store http tco j7ndcdlay
145	Haley Heintschel	2016-04-16	3:29	-122.83279180000001	38.40664053	two prune pod #prune prune farm studio http tco mqtru 0jb9o
146	航也	2016-04-16	3:29	-76.61529540000001	39.2972488	#wasingtondc washington monument http tco ytkinhbwoj
147	Grace Gonzalez	2016-04-16	3:29	-118.43738	34.0600499	cheez-it fri chicken grit #havingsomefun #blvd16 #friedchicken #roastedkitchen #laeat http tco 0bmoud84au
148	Leiane C	2016-04-16	3:29	-85.67246999999999	30.19016	head play #rent #gulfcoaststatecolleg el jalisco panama http tco nfolqvmntm
149	Join Lab Support	2016-04-16	3:29	-105.03720459999998	39.836652799999996	want work #westminst co view latest open http tco j4shrzstgb #sale #job #job #hire
150	Richie Nakano⛈	2016-04-16	3:29	-122.08984	37.991639899999996	never let child pick background pose pictur day osca-asap-careonsit http tco 3ldxdlt8t1
151	NOTORIOUS. D.I.G	2016-04-16	3:29	-95.405988	29.738482	#chocolatebar twice week chocol bar http tco 0ird7pkolf
152	Bridgestone Arena	2016-04-16	3:29	-86.77794512	36.15936801	absolut class @mumfordandson kick weekend right sold-out #nashvil crowd http tco 17yfjsfqdt
153	polynesian_metal	2016-04-16	3:29	-122.4062288	37.78134829	special @tempestbarsf san francisco ca http tco ayg 0fisshv http tco xxvzw 2zouy
154	T.M. Waltman	2016-04-16	3:29	-117.3140487	33.91506516	hello new friend plea connect
155	mikaela	2016-04-16	3:29	-93.21063808	44.91596934	let go find neatur squad minnehaha fall http tco rif 9yzestl
156	Oakville Harbour Wx	2016-04-16	3:29	-79.66611111	43.44111111	#oakvil 2330 nne 37 kt g12 6kt 102849 hpa rise slowli 85 c fall dp 25 c rh46 http tco cg0w2x8a3b
157	melyy garcia	2016-04-16	3:29	-100.38570940000001	25.67158911	el mejor acompa anat #bodaa atlanti evento http tco 9xljaw60dm
158	Kayley Greene | ΑΣΤ	2016-04-16	3:29	-84.40404000000001	33.65631	ate burger chick-fil-a origin chick-fil-a http tco 4bq5qqfh5z
159	(Wez) Cesar Sanchez	2016-04-16	3:29	-121.87299999999999	37.3041	san jose california http tco 5uy3nbpahd
160	Jezuz	2016-04-16	3:29	-119.29749809999998	34.2750286	fugaaaa surfer point ventura pier http tco 0vttgrkmgn
161	GIL	2016-04-16	3:28	-96.82696999999999	32.749590000000005	kick #bishopart #303 fam friend 303 bar grill http tco 2jcvymflwp
162	DayJobsNightLife	2016-04-16	3:28	-73.5660858	45.5074539	love #printemp #printtmpsmac #macm #montreal #madonna #mtl #downtown #mac #museum http tco pdwsxiacqp
163	Slattery Irish Dance	2016-04-16	3:28	-74.82526	40.87075	#slatteryirishd #irishd #slatteri #irishdanceinhackettstownnj slatteri school http tco onevelqtt 3
164	Ginny Bates	2016-04-16	3:28	-120.75029479999999	35.67966339	great day justin wineri happi birthday rich rector #isoscel http tco vbi 2ozctgc
